Minisector,HAM,RIC,Fastest
0,288.9189585066666,295.20354176,RIC
1,293.0325937980324,293.9333528819411,RIC
2,168.11587285751708,158.76558393940746,HAM
3,235.9510424,230.38242828985506,HAM
4,280.1290590510261,283.83734335839597,RIC
5,298.0190671461531,309.3495798588235,RIC
6,303.96127454117646,315.4269956929972,RIC
7,153.66710677183744,163.22990476190478,RIC
8,149.49766274612244,137.63122639926172,HAM
9,256.9416100742134,249.80674603174603,HAM
10,286.83932737566136,281.68327099348375,HAM
11,297.6914926793148,285.60087719298247,HAM
12,148.3254398069794,148.13553257777778,HAM
13,210.29551138048146,203.73880025747738,HAM
14,269.44686850167943,257.8727890140589,HAM
15,210.42828006061723,203.6330471552402,HAM
16,228.67564207373525,227.84420289855075,HAM
17,223.31738062019048,219.67466641066665,HAM
18,253.53529720394195,249.51732639940317,HAM
19,280.97412376666335,276.1486844070176,HAM
20,296.88157911578946,287.7829454780645,HAM
21,267.5598610544849,256.3310719189957,HAM
22,228.20544033443147,224.4276036,HAM
23,216.97020463247623,211.21986068383526,HAM
24,273.7835323574012,266.10972246349206,HAM
25,289.4166677333333,,HAM
