Minisector,NOR,SAI,Fastest
0,323.27377531049916,316.29311873469544,NOR
1,326.53958332121215,323.9634056347826,NOR
2,322.36136378181817,327.33134923174606,SAI
3,199.35076321187304,211.04041962286067,SAI
4,115.83246220339517,113.37259186315347,NOR
5,267.4828997123643,260.95406741105575,NOR
6,304.47331614634635,296.89105697315927,NOR
7,315.3447464347826,312.9461228363978,NOR
8,277.7711205313269,291.0907475294761,SAI
9,140.35929599394385,140.0824637863653,NOR
10,218.12999090999284,219.13838448484847,SAI
11,207.72612891434224,209.42880730768098,SAI
12,192.57576738245615,191.93438125854615,NOR
13,269.71498555367737,261.0287557727422,NOR
14,307.2625773581781,299.0737316637681,NOR
15,323.2529810591721,316.8036232811594,NOR
16,263.2294110137566,271.5774272451499,SAI
17,198.380324777669,192.20198463815578,NOR
18,272.5965381813051,264.2211484772205,NOR
19,309.30941670273893,299.1919625958041,NOR
20,323.3698862060606,315.7202896695652,NOR
21,303.8848972888889,312.50617954633714,SAI
22,200.45095554202987,201.62785682285713,SAI
23,265.69597040878864,257.2011961853726,NOR
24,305.0250543281404,296.16274765714286,NOR
25,,308.17916693333336,SAI
