Minisector,ALB,RIC,Fastest
0,264.27373165119076,272.5669043279438,RIC
1,292.99505144761906,296.98194474666667,RIC
2,307.7710453877551,310.6088891022222,RIC
3,315.5702775466667,319.9089286857143,RIC
4,319.96805546666667,325.8061111466667,RIC
5,322.5065475809524,329.6167411047619,RIC
6,284.6671908,212.99166978235587,ALB
7,118.5776204542497,108.5104027603513,ALB
8,153.4268835435695,188.23162218435323,RIC
9,250.11319253333335,262.5397062901961,RIC
10,287.4196419176743,293.38586373614015,RIC
11,233.28208177349163,183.25507297330395,ALB
12,94.61063759461334,98.892387226279,RIC
13,111.97311866070065,115.14981074686717,RIC
14,214.60825097835496,226.31837913365013,RIC
15,191.49478474167617,187.24733239466667,ALB
16,225.3277479351636,223.3197418031746,ALB
17,192.21815548571428,181.0129795692308,ALB
18,223.05428681738118,237.99517411929824,RIC
19,271.5123440304646,278.4956957266014,RIC
20,287.8656256,265.40774086772484,ALB
21,162.93385718562055,150.87348094844006,ALB
22,102.44464803006862,99.39850628058899,ALB
23,123.05620833394396,126.07194103997433,RIC
24,207.36721993571516,219.32395260368617,RIC
25,,255.74444373333336,RIC
