Minisector,RIC,HUL,Fastest
0,250.4371454697299,258.90984842256256,HUL
1,278.90870206258506,295.01342259809525,HUL
2,160.38526574163728,162.80986946831015,HUL
3,162.5754941470231,171.18014782745098,HUL
4,257.4213544888889,262.40258865094154,HUL
5,263.05132495930735,269.4375001212121,HUL
6,214.42109733474427,218.90134965423482,HUL
7,196.22455992510203,193.506921944086,RIC
8,154.61197094280092,150.61500901070752,RIC
9,220.85216946128037,220.62326559783313,RIC
10,274.36845277460316,277.7781464671202,HUL
11,126.24345619084444,122.7869642101612,RIC
12,214.72645099024612,226.36958511040197,HUL
13,269.9748382337662,284.73254003809524,HUL
14,290.31187170567455,312.27347933121695,HUL
15,297.9092040471151,319.8396930245614,HUL
16,215.66108676163878,231.1477549948718,HUL
17,134.76179448897818,135.8785082882687,HUL
18,135.5713109928383,139.69192459302903,HUL
19,121.38480430087463,124.71846423884843,HUL
20,221.48664667637877,227.25172280888887,HUL
21,244.59647108373125,252.9006418672226,HUL
22,224.06250153846153,233.38216792130262,HUL
23,208.09758854275492,215.21083754955296,HUL
24,146.69923522539682,142.44624151680455,RIC
25,,223.8,HUL
