Minisector,PER,VER,Fastest
0,257.43447970088187,258.698877374359,VER
1,223.03592912696973,242.1417234103387,VER
2,141.54317311082505,145.83753516501605,VER
3,237.55043451169894,238.7638242778414,VER
4,267.0708331093333,268.66135679390476,VER
5,171.26624343893118,189.67848779636992,VER
6,99.0424882621806,103.8903131225126,VER
7,137.99364209628993,124.53783801781557,PER
8,249.81333794318198,246.03256874555166,PER
9,167.54627362879947,171.07443514748775,VER
10,182.69208901661008,189.3051943783957,VER
11,257.8520740466781,256.99503163076923,PER
12,243.5372599784142,248.82086871748737,VER
13,260.19877831296776,264.54773778285715,VER
14,283.58835026756816,280.91576064927534,PER
15,269.0560215139591,273.6287106003552,VER
16,135.15131040421338,144.6612021527617,VER
17,230.82984205999566,237.37696307809523,VER
18,277.976449715942,277.43172410389326,PER
19,288.963586968116,286.19207905605356,PER
20,291.69813314632034,288.3403347812483,PER
21,296.54438409275366,287.8337949836047,PER
22,141.23106721382618,141.3132732668845,VER
23,80.56143746330567,83.44816634260255,VER
24,155.16632168284204,165.05794657815443,VER
25,236.60416533333333,,PER
