Minisector,VER,RAI,Fastest
0,286.9958332121212,291.13267721904515,RAI
1,306.61135237238994,313.33020810666665,RAI
2,305.00749984,314.082630688091,RAI
3,185.89131353490183,182.4077384576871,VER
4,220.6122469518622,219.86324642097182,VER
5,207.86724097471264,197.6102708971724,VER
6,193.40946958267247,184.2671537177489,VER
7,213.9219069020408,209.1551187657143,VER
8,258.99289366863593,259.0303319111111,RAI
9,266.50790690585836,266.5180222542181,RAI
10,179.11110479051817,171.45596857657657,VER
11,240.8908154962266,242.75980639091236,RAI
12,116.99929565528255,118.3252967254415,RAI
13,231.25773924797178,228.2816872119728,VER
14,277.8720246948836,280.78879532235044,RAI
15,284.56639561558444,295.0536785386667,RAI
16,205.652049000183,206.8239448282642,RAI
17,184.1137871182665,177.31167529971657,VER
18,269.96556849392994,270.5864650199038,RAI
19,295.9234129995465,300.8496757338535,RAI
20,308.4617104627515,314.1845204751133,RAI
21,309.20124976,315.0468254984127,RAI
22,269.8086032945746,263.8583483452513,VER
23,121.31068436613765,116.94894317486026,VER
24,244.05487955493737,241.67003125536428,VER
25,275.0750016,277.6124992,RAI
