Minisector,GAS,SAI,Fastest
0,258.5429188075924,261.37451138380953,SAI
1,133.0963838836227,129.66547436952382,GAS
2,200.5995150311111,201.02155925360282,SAI
3,246.65267826622573,246.7809012084601,SAI
4,255.47272548923078,263.005676009324,SAI
5,174.29139870236915,171.36343628527786,GAS
6,146.6783884083245,140.62696653515528,GAS
7,183.26449552007514,185.6462397896911,SAI
8,100.36663824936406,98.32616639028944,GAS
9,74.13282380458921,69.87189718488307,GAS
10,95.87819361969935,94.46118584892994,GAS
11,188.18498439944017,184.48922478563196,GAS
12,245.5160004395238,245.7600303658975,SAI
13,269.20658908542123,270.826843712752,SAI
14,279.774577745887,279.02802166621717,GAS
15,109.81864522165495,103.47086359886744,GAS
16,146.88421332454598,155.0611883461671,SAI
17,185.51736645815873,187.39346417980087,SAI
18,194.9486864210224,194.04166787368422,GAS
19,202.43657005760286,202.2076434265671,GAS
20,136.63512754962963,135.22853454705123,GAS
21,108.04787053611754,103.45270136480922,GAS
22,100.35243284926277,102.27122491529778,SAI
23,196.3663054464762,206.01998339076818,SAI
24,248.46340352809523,254.7131429040293,SAI
25,262.99999743999996,,GAS
