Minisector,OCO,SAI,Fastest
0,253.9236153295238,261.37451138380953,SAI
1,128.70495677124265,129.66547436952382,SAI
2,197.33903262984126,201.02155925360282,SAI
3,242.5523774245926,246.7809012084601,SAI
4,253.56762900410268,263.005676009324,SAI
5,173.48829178412697,171.36343628527786,OCO
6,147.12044793629568,140.62696653515528,OCO
7,178.51361256533332,185.6462397896911,SAI
8,97.2595642673903,97.42695931120731,SAI
9,72.20307600632867,70.87189718488307,OCO
10,92.77222141242693,93.03261442035851,SAI
11,181.11512835943978,178.90762789674307,OCO
12,238.2098640987013,244.31065276833343,SAI
13,266.5154603331061,270.04429322911756,SAI
14,273.4515306122449,279.1797123072774,SAI
15,112.3739554333939,103.90060945439153,OCO
16,138.3346432078091,152.4819123636222,SAI
17,185.41036734419754,187.39346417980087,SAI
18,196.05866594855118,194.04166787368422,OCO
19,199.9270979854342,202.2076434265671,SAI
20,132.31179433025642,133.75551730805313,SAI
21,108.49849749010102,106.67850781642211,OCO
22,93.94178346371902,99.73414192863112,SAI
23,195.27537079703703,202.35340378655766,SAI
24,245.62564157264958,253.3764898394558,SAI
25,261.6666666666667,,OCO
