Minisector,ANT,PIA,Fastest
0,303.40013156432144,300.41137398382165,ANT
1,200.73280605710588,192.41733093576488,ANT
2,211.9803595813691,227.07681268244977,PIA
3,273.84743681940415,273.82440739347317,ANT
4,247.5720305346351,220.75164724496548,ANT
5,125.27770809862604,129.45285682207566,PIA
6,199.79885257711655,212.50100494497212,PIA
7,231.9612955716336,253.09406171368323,PIA
8,216.00567024063295,236.83242333768874,PIA
9,222.66496271157175,230.579364572456,PIA
10,270.9632211274643,274.63949385111624,PIA
11,290.872402697984,289.52621877402424,ANT
12,304.9083959899749,294.77009959906655,ANT
13,321.0353279235396,297.38738151644577,ANT
14,328.54428575193276,296.9858079094853,ANT
15,223.774064262657,243.6765255812306,PIA
16,229.18534740076677,237.11329257374723,PIA
17,280.52925806887873,276.2571485260771,ANT
18,303.5206765142703,285.82845851325834,ANT
19,142.54614688756413,154.69782443655228,PIA
20,190.85714113891026,214.08261299022348,PIA
21,190.94376727401223,148.07614802655254,ANT
22,133.12905487131036,154.66056824844824,PIA
23,231.60654497948914,248.5734433057054,PIA
24,294.3894883126207,285.4478341132625,ANT
