Minisector,PER,HAM,Fastest
0,278.2479857747879,285.77155813075166,HAM
1,296.63614743088027,312.6885666682572,HAM
2,233.47430831758288,225.60477432586208,PER
3,109.04536906913991,106.5613906126706,PER
4,127.47064641922469,126.33115380558229,PER
5,246.82786069760002,252.15920734222223,HAM
6,241.55825534110923,247.43977485434377,HAM
7,118.77636863966318,114.93001064421907,PER
8,247.63331550234815,249.9196814929537,HAM
9,256.9170765701587,251.06461306433593,PER
10,203.99820452689357,208.83408375068785,HAM
11,138.0184475191064,129.56888804710178,PER
12,199.77692013110212,194.32066540319778,PER
13,260.33386750720246,260.29511274042665,PER
14,109.80053691327593,111.02912105121825,HAM
15,183.24941481820787,182.3750687995671,PER
16,252.1863807728538,252.42756729165603,HAM
17,286.9038509152183,288.48746369142856,HAM
18,301.3877822326251,305.3381840988144,HAM
19,319.1590067861295,321.42323531204033,HAM
20,328.80034740285714,329.9132854416569,HAM
21,162.99297351889453,168.38243093781614,HAM
22,140.85803632196001,132.2303124302197,PER
23,191.7420909709371,184.01050001013613,PER
24,237.12999436300632,228.27252037682305,PER
25,,266.36000512,HAM
