Minisector,PIA,NOR,Fastest
0,290.51780250482756,302.6634021155556,NOR
1,143.98883626539126,152.30962468520013,NOR
2,232.78372664182197,210.78760839360532,PIA
3,293.00932532486775,287.7075977098039,PIA
4,315.46585942,313.65775860888454,PIA
5,313.6420006878455,312.136332105094,PIA
6,148.39278150803273,177.05045286141416,NOR
7,137.08131584,120.48380043790495,PIA
8,261.5982791043028,254.7263230425987,PIA
9,298.52587854023307,297.05778652929206,PIA
10,294.04525061293236,301.2752403076923,NOR
11,130.5213345323094,145.20624136001456,NOR
12,191.63458036705515,170.58914330095237,PIA
13,247.90416648366013,246.97862769272643,PIA
14,183.47955498198718,189.95813776594628,NOR
15,196.312386932198,188.96442170475206,PIA
16,191.8799753075109,195.98437222265736,NOR
17,236.7274502338209,230.23478062904775,PIA
18,281.0121915259259,279.1664178763119,PIA
19,294.97472659210626,294.82078782060603,PIA
20,246.61165589808613,247.73210023317628,NOR
21,202.0278432958242,202.8964079831165,NOR
22,191.2991444805482,183.3797803375452,PIA
23,267.9781651580419,266.47911955775106,PIA
24,303.01685743521557,298.88374231672015,PIA
25,,303.3017856,NOR
