Minisector,RUS,VER,Fastest
0,272.5694943314286,271.1236549102088,RUS
1,252.32013932009687,247.53886847337475,RUS
2,124.0620412877295,120.99790044479633,RUS
3,162.59609288753106,169.21921862841248,VER
4,184.0473147119192,197.0205220456192,VER
5,199.82505707700267,189.3818789388775,RUS
6,263.33294694453053,260.48627887299915,RUS
7,285.3630109647771,284.18004157866665,RUS
8,233.23061154666667,237.37911799713646,VER
9,150.08017265566139,149.96525979700462,RUS
10,118.88050758560591,122.30791647628077,VER
11,160.90735530775683,166.85852029805028,VER
12,247.0707373815204,247.30332687150025,VER
13,157.2781364615873,158.8517985769634,VER
14,145.41766910607984,145.63927059849726,VER
15,106.56236003364133,106.1740220031843,RUS
16,215.39139168889312,215.45670179660502,VER
17,254.6191523915444,240.42093923189714,RUS
18,128.52858121915804,130.44612387616445,VER
19,239.01813308440637,240.71758874677707,VER
20,273.4393386665226,273.72250602185466,VER
21,200.32750723452506,200.75314769084312,VER
22,150.76286049084533,150.42458778315364,RUS
23,216.78599623092146,220.64225794063145,VER
24,230.82513053531338,227.16748643476845,RUS
25,255.875,257.7624992,VER
