Minisector,NOR,ANT,Fastest
0,289.38251743361633,287.8455873990885,NOR
1,308.2280208569632,307.59873129382134,NOR
2,306.89463772748127,311.2671505423377,ANT
3,202.47660522093827,202.47706137904763,ANT
4,234.83296652900688,232.84061832402298,NOR
5,223.29552268701394,222.82387276519304,NOR
6,206.3684201319243,203.40693532943305,NOR
7,231.2007974244898,232.36233810536262,ANT
8,269.8616592206803,270.4989160112208,ANT
9,280.7750992770054,276.3616055443478,NOR
10,175.74740024087237,177.02440839143088,ANT
11,237.23050922683788,238.74416998782092,ANT
12,120.74746247577983,111.79827338766013,NOR
13,226.21182384484848,223.42050686706827,NOR
14,278.9295539796304,277.1933027191302,NOR
15,294.93797063372534,292.9987662799423,NOR
16,218.91509913153592,221.01222994250784,ANT
17,187.01020483238415,191.23453591464224,ANT
18,267.54198741750645,269.3336055211401,ANT
19,295.26645361922897,295.1672269365195,NOR
20,306.75714644248194,307.60563206643684,ANT
21,306.5727381739683,306.14622031891156,NOR
22,273.89059448402116,281.3413871937251,ANT
23,118.46576931787276,119.29026621243301,ANT
24,246.0484551628219,244.648116682933,NOR
