Minisector,VER,LEC,Fastest
0,298.6698245392761,299.6785267502607,LEC
1,196.18652925802084,192.08258327833116,VER
2,224.5127634569121,214.8793937566701,VER
3,273.8745637001698,272.42041369811,VER
4,247.6850655730032,240.9871464393651,VER
5,127.49866052326523,123.9921341288144,VER
6,206.5330985210628,200.16186098688328,VER
7,249.9807471236175,246.2657702323946,VER
8,231.01889898923767,229.80190933971548,VER
9,225.02026225574969,227.27443543092429,LEC
10,273.30414043484734,275.408369801564,LEC
11,290.03887109360693,293.57779263147,LEC
12,298.6496419390391,299.20834005719325,LEC
13,300.33111669043205,302.10673412525256,LEC
14,302.06294896036724,303.73689756305913,LEC
15,234.49015967189877,241.98971392666436,LEC
16,228.94513377390032,220.8168320058506,VER
17,273.79664137677906,267.4752093855557,VER
18,289.93467337038976,289.2798393633539,VER
19,144.59583781642175,134.55494578482117,VER
20,210.77976598785898,188.97108830162912,VER
21,173.3356025987018,156.2859268266322,VER
22,146.84242886207275,133.13016223793494,VER
23,242.1764317543425,241.12758616597955,VER
24,284.56654563754523,293.6588810553757,LEC
25,,310.8285714285714,LEC
