Minisector,HAM,GRO,Fastest
0,257.01002321927496,255.82689650411942,HAM
1,219.5214556417249,205.51900916438476,HAM
2,222.62552729446168,221.91674156047762,HAM
3,262.0668037610936,264.03550767701864,GRO
4,271.2928571936508,275.580843781572,GRO
5,227.36161983443483,212.49988568437834,HAM
6,98.95305988530684,95.80553028990828,HAM
7,176.42323878478302,184.84807644801487,GRO
8,275.3923833267186,278.3237908717687,GRO
9,302.21799457684085,304.1019095296295,GRO
10,311.9417944916567,314.8206207115936,GRO
11,309.9448530196079,304.92913598968363,HAM
12,109.50505600517165,103.67470728730636,HAM
13,204.38135895624995,212.7025677217774,GRO
14,275.19123905064464,277.62431424303946,GRO
15,296.4771640407554,298.1888450824161,GRO
16,236.12682350083958,215.47256569301246,HAM
17,125.11095914788334,123.25277442080322,HAM
18,152.2784663151122,151.69136359667536,HAM
19,255.85914020526903,258.09177162689815,GRO
20,154.02190710032937,145.6696159837326,HAM
21,131.5010691536034,126.37386138567376,HAM
22,204.83444469719197,207.35178125891204,GRO
23,205.1563042625892,195.9854259921264,HAM
24,170.2845628896982,162.3742168133104,HAM
25,230.66108822464582,,HAM
