Minisector,TSU,OCO,Fastest
0,255.1169011209642,254.37725510112685,TSU
1,213.08368323260234,211.19051579104237,TSU
2,207.36925959081887,203.88823386976827,TSU
3,257.2681759394048,255.59800236098414,TSU
4,271.05395337317333,267.8137660468755,TSU
5,285.8214675705887,289.08637361744695,OCO
6,162.2894058452595,163.90914827344537,OCO
7,187.43755180835893,182.8518645019791,TSU
8,267.5316624337222,267.5022261754929,TSU
9,289.22852661553304,293.71305919878426,OCO
10,299.009596762712,304.40675667611947,OCO
11,297.77527233742046,309.51345487480756,OCO
12,113.82180815115987,112.89546522802118,TSU
13,189.3703000122252,185.96020369707898,TSU
14,270.1588286543377,272.7503131672194,OCO
15,292.8366442958402,297.5745008712152,OCO
16,295.636931809393,304.18987710075135,OCO
17,184.8588086536105,179.837733055336,TSU
18,222.0429541073889,220.50829495877605,TSU
19,265.29392451278557,263.63621646244627,TSU
20,154.3299898730708,149.79350416648555,TSU
21,147.62114388272724,142.50635748825792,TSU
22,222.90695492177056,221.09380357862779,TSU
23,233.65967348003045,220.53601954103246,TSU
24,158.34597450483662,156.83331592078417,TSU
25,228.23333119999998,,TSU
