Minisector,NOR,BOR,Fastest
0,270.92827709283836,267.8937841542562,NOR
1,287.25049071407403,287.0344276355556,NOR
2,292.6454845098136,291.90977564024604,NOR
3,127.80736396100038,133.32571965748164,BOR
4,193.0471364116511,195.98449907386396,BOR
5,253.23727930145904,253.66014657923097,BOR
6,142.48028916204737,139.99204475259637,NOR
7,209.16057859726206,207.9056748608919,NOR
8,256.40782508382875,258.1654840674143,BOR
9,277.0347338487395,277.3316762772161,BOR
10,245.11663545112782,235.37428795292234,NOR
11,183.84484303941392,187.0982578143818,BOR
12,195.22843165038137,194.5774187066481,NOR
13,145.36674521751337,144.7640537532581,NOR
14,179.25059218351254,173.55982241289607,NOR
15,160.7272364710787,165.84642409494504,BOR
16,220.92601296888887,217.5941229190418,NOR
17,240.60129209561833,236.56932415268574,NOR
18,244.9119567977938,241.95806509333335,NOR
19,240.32181521471327,252.7761931940189,BOR
20,145.81785573672371,142.28678262508842,NOR
21,131.8136269317624,130.53650075435573,NOR
22,169.7263437302806,168.66791176354917,NOR
23,155.0862408649178,152.1941564901515,NOR
24,233.2430161922902,226.95636528572155,NOR
25,,252.0,BOR
