Minisector,GAS,KVY,Fastest
0,287.54014821290235,288.839215372549,KVY
1,297.97109366666666,299.2762644651898,KVY
2,301.4593137389356,302.63776033333335,KVY
3,302.11718833333333,301.9980387764706,GAS
4,178.29635029487852,173.54124100426736,GAS
5,212.8642709697834,220.2065889173308,KVY
6,242.3073172039239,244.94189136480182,KVY
7,266.1914513804727,268.1064813037037,KVY
8,264.0288553463659,260.4550595657143,GAS
9,169.10860665502602,166.34915165832658,GAS
10,232.55059423492062,231.87986979740262,GAS
11,138.66921870771904,135.78084250462243,GAS
12,223.7177187336475,222.33518394255123,GAS
13,197.34801984561713,193.41474486153845,GAS
14,212.3437479111111,217.93939345454547,KVY
15,247.90000904830717,249.09604154666667,KVY
16,260.640976641604,261.4983476320841,KVY
17,281.94563639183497,285.1744189604442,KVY
18,139.24621244310777,128.48659776911555,GAS
19,164.29859099954024,161.59212679569893,GAS
20,149.05335695933672,147.8553297120317,GAS
21,172.18887497024255,168.83501453453536,GAS
22,120.70365780813007,120.72532646167801,KVY
23,224.47180572813852,229.0188947852473,KVY
24,265.4580806330485,270.029256152381,KVY
25,277.9124992,,GAS
