Minisector,NOR,KVY,Fastest
0,257.0127455517661,257.7186759351502,KVY
1,198.6750825713069,202.58770659816565,KVY
2,222.1297981537263,221.81487770268652,NOR
3,261.7607975203701,261.24125378245515,NOR
4,272.58480082139056,272.37771747246376,NOR
5,216.14300277986908,219.45794024580613,KVY
6,90.97855972702277,95.60715776108266,KVY
7,193.76594588384484,189.95954927963052,NOR
8,272.9269498680154,272.64418381583494,NOR
9,294.9742034444922,296.06671323432965,KVY
10,303.90995923607323,304.4739073475889,KVY
11,302.3847204977778,300.2550347050395,NOR
12,106.9309395675364,114.23787815868835,KVY
13,219.90800678656592,211.94200965509575,NOR
14,280.0253245523016,279.234336046947,NOR
15,298.85492867214504,299.7189702312942,KVY
16,224.90231481000163,236.86888675697935,KVY
17,119.99109454106207,123.33443639386955,KVY
18,150.24812153088925,148.70445333586935,NOR
19,250.4929455736039,253.2958547890106,KVY
20,152.1486207046798,162.30780286903777,KVY
21,126.56590379860079,124.7775364708242,NOR
22,202.8411219614117,193.31168955292227,NOR
23,199.7362206379627,200.99458107735964,KVY
24,161.39179301746717,159.73344117704374,NOR
25,,232.58333866666666,KVY
