Minisector,RUS,VER,Fastest
0,313.9240280739506,316.34120051976106,VER
1,325.9187804037645,329.7030375938788,VER
2,330.65611373871786,334.5342040162757,VER
3,301.13892989358146,312.3937689780947,VER
4,152.489175670293,156.08026555974814,VER
5,196.73241383805765,192.1657346457654,RUS
6,218.1480124375483,214.3906865540486,RUS
7,258.7933838994997,260.95851751721426,VER
8,231.07344083846837,234.07600232218465,VER
9,156.3210654785933,154.52291243514406,RUS
10,208.84819285490815,215.7505948574947,VER
11,121.6882714425364,122.87367009942136,VER
12,228.550893227447,229.55368446537784,VER
13,163.14714734312878,170.2776253897101,VER
14,207.17803951738463,203.25275891669526,RUS
15,219.77815718974924,213.39746584048052,RUS
16,264.36019931061577,248.80882675094108,RUS
17,304.5161369479086,292.55976803466257,RUS
18,142.55998770418336,145.32809505278703,VER
19,157.13669879872515,153.49124820316362,RUS
20,132.268195768097,134.96651418624927,VER
21,222.66669628635492,220.47063881693833,RUS
22,246.7271615504531,248.3250185397374,VER
23,229.43737049483997,234.42090202464016,VER
24,281.35448776632813,278.981117165965,RUS
25,,305.8166656,VER
