Minisector,STR,ALB,Fastest
0,274.56225068046894,276.81374724624794,ALB
1,297.1445657859048,298.0526604299847,ALB
2,294.80568935045204,297.40263543191156,ALB
3,176.2508176486816,176.3954887433739,ALB
4,116.61018292718832,115.6744517679884,STR
5,234.95265242119825,235.97798065588287,ALB
6,280.91240261750204,280.07146837598907,STR
7,295.2700168700416,294.03288336009643,STR
8,185.7462454297584,183.49284939568898,STR
9,147.56374762394205,133.41710456696347,STR
10,248.70655303582208,250.34114803521294,ALB
11,287.75682053874397,288.7390909991342,ALB
12,298.2351981407115,304.1649073750049,ALB
13,280.4117316274538,285.40046034052983,ALB
14,294.28167499304453,297.1804265628241,ALB
15,296.9374294484656,301.4512317835749,ALB
16,249.84557809181618,255.30346465697994,ALB
17,227.94900864088055,229.32193351927916,ALB
18,275.809336738244,281.24880667610194,ALB
19,297.61009760542737,298.84568873055457,ALB
20,300.2708797688889,306.8030110102751,ALB
21,241.51309084980613,241.4825558660806,STR
22,261.3047725541709,262.624042928236,ALB
23,142.32495742548346,142.0461137328169,STR
24,210.96995479190429,218.4498644025022,ALB
