Minisector,NOR,OCO,Fastest
0,250.29362303624447,254.2583388277735,OCO
1,119.13552116728233,131.3185630251708,OCO
2,255.93482945494515,259.44040971027135,OCO
3,297.54214696707487,306.86963050779906,OCO
4,297.80477116448776,306.0090037501133,OCO
5,302.08203241342915,313.4219907621399,OCO
6,307.10568527667886,318.7773931350427,OCO
7,306.2550567843357,314.6455026273445,OCO
8,194.12725644310694,197.87599148859871,OCO
9,189.481263823392,188.8180243505964,NOR
10,180.78127057675954,192.3371188811898,OCO
11,162.88516833160753,163.96471796580317,OCO
12,244.6191889647291,246.6542880656669,OCO
13,273.2008977690545,265.4285046161733,NOR
14,277.204616132517,269.9768032442354,NOR
15,264.05854242180584,271.298665305,OCO
16,181.42546969500452,175.90310467977307,NOR
17,182.13626341781475,184.35924219119246,OCO
18,228.76080708659592,223.51821924816616,NOR
19,279.53614548364675,281.38488008827585,OCO
20,301.49217595692306,307.26577557242035,OCO
21,309.54938080370374,316.89734335037593,OCO
22,309.05791664761904,315.9969330514811,OCO
23,241.7353966373299,249.31005748493328,OCO
24,104.66404779240848,109.46783942983923,OCO
25,216.5500032,223.75833386666667,OCO
