Minisector,VER,RUS,Fastest
0,282.42368812867727,292.5200368153955,RUS
1,150.97015674119984,150.33051330752485,VER
2,237.84364376046574,226.85801610589337,VER
3,285.4952571552778,285.0138312459218,VER
4,312.7900996769766,315.48742190363896,RUS
5,308.60593585981,285.7783204665387,VER
6,155.26352233206154,150.92788906907225,VER
7,253.40155685921837,247.47454482133028,VER
8,114.56550924868436,114.50515098998657,VER
9,177.0062049506899,171.00141865857927,VER
10,275.74944835344695,279.6341424277146,RUS
11,301.5703499227429,302.5450566454857,RUS
12,213.60561411290828,218.67502244811521,RUS
13,171.38916929895873,170.48393226279953,VER
14,281.84112308451347,279.21007643404215,VER
15,314.09320415478675,314.5305281318948,RUS
16,326.6801019616557,327.62371603330695,RUS
17,332.4710177462857,335.95199125621934,RUS
18,335.77268669123174,339.19157166194276,RUS
19,337.6128344493424,341.27958330666667,RUS
20,198.80794091209387,192.42257192700228,VER
21,182.24773223073396,176.5121618566572,VER
22,282.6551872490472,281.6687511109936,VER
23,311.96036176255654,314.7016735497067,RUS
24,322.01663890460156,325.62593695499305,RUS
25,,323.0,RUS
