Minisector,STR,KVY,Fastest
0,307.4835648592593,287.88104144,STR
1,301.0974217931537,285.2032306882242,STR
2,153.07500013714287,164.70053716363637,KVY
3,233.48786302608696,227.2509231924395,STR
4,290.2261904761905,270.22868863901215,STR
5,316.6211485938375,286.40717577989415,STR
6,327.1320312666667,291.09517541052634,STR
7,148.42579880902255,150.1256908350877,KVY
8,136.12256710078626,143.21508749134355,KVY
9,255.1898810920635,250.27310550303034,STR
10,295.08515243174605,278.5489923901579,STR
11,303.04511154297717,289.1932898290344,STR
12,138.1816731220899,147.0844928473008,KVY
13,206.63862123724942,201.94772270926438,STR
14,265.2308335466667,250.56910889244057,STR
15,202.12725859767053,205.39728893809317,KVY
16,223.96857653333333,222.86359477638095,STR
17,216.7427468154748,221.6597499483086,KVY
18,249.2031746031746,250.18012992290247,KVY
19,279.2313599438596,274.03328244861785,STR
20,293.9017544421053,285.3632147914404,STR
21,259.8674602666667,263.2596434819048,KVY
22,216.44683306666667,225.97125828228016,KVY
23,211.76047638771067,210.58389907738893,STR
24,275.11145882666665,263.30937456000004,STR
25,,278.19937858180754,KVY
