Minisector,SAI,TSU,Fastest
0,276.9403792970472,275.7223897229659,SAI
1,300.31076386666666,295.268333312,SAI
2,295.89553530828715,291.81243750621115,SAI
3,175.81112954240427,180.50117688761904,TSU
4,113.84807860394929,118.49624290303089,TSU
5,234.31559084731182,235.3033756078241,TSU
6,289.08683296426665,279.26242082257977,SAI
7,301.2431671466667,290.26162214579716,SAI
8,175.06014397483025,185.89406502406197,TSU
9,138.8310243982274,140.16457551811666,TSU
10,249.73045936551725,247.06866782652125,SAI
11,290.5079259707593,287.2088146120387,SAI
12,303.36922148571426,295.29742869942856,SAI
13,281.070476135619,277.2644230974359,SAI
14,300.5850096555176,292.9464502513412,SAI
15,300.7244547936508,296.791170831746,SAI
16,241.19715435651062,256.9317055158522,TSU
17,221.7089838,221.33851987578365,SAI
18,280.98706665605465,273.071657359707,SAI
19,308.9432041714286,294.26560655414585,SAI
20,312.65172074314955,295.6610647279012,SAI
21,222.79781758614718,236.4964632143716,TSU
22,255.92591562110186,253.4903980609936,SAI
23,130.92743223050996,140.00249766262746,TSU
24,211.14733332130504,206.36657681423355,SAI
25,257.8875008,255.86666666666665,SAI
