Minisector,HAM,HAD,Fastest
0,298.37089667540783,300.5472787591837,HAD
1,306.3542823407408,310.76151997380117,HAD
2,242.37439470419014,228.59511380883316,HAM
3,121.10864917267364,158.44074058989898,HAD
4,136.9792549591702,158.0,HAD
5,253.99942829555553,183.32078440714287,HAM
6,259.8513645906418,268.5317741752066,HAD
7,127.162609117771,151.40820870904642,HAD
8,241.0930678168116,191.85959435650798,HAM
9,248.65297930433863,247.85179740612534,HAM
10,212.84072773931467,238.27808645501165,HAD
11,141.7055988630088,173.10313446168234,HAD
12,202.45767644,133.63751676289354,HAM
13,256.78743688971196,249.21566111003662,HAM
14,115.74179309492031,169.45908723048043,HAD
15,185.01598895981112,123.53385237878729,HAM
16,264.82394577535354,227.40153747248237,HAM
17,305.9788617529514,285.6773619829987,HAM
18,318.22731240319615,325.13808758687657,HAD
19,311.2785498263036,335.6539635774209,HAD
20,305.8382517734336,327.3000013650125,HAD
21,168.34784298876053,312.17348882960783,HAD
22,139.46078605823732,115.5949817436767,HAM
23,188.9021805857611,210.52279000062506,HAD
24,238.8470909183418,186.99355645639892,HAM
25,281.7,264.9600563342222,HAM
