Minisector,ANT,COL,Fastest
0,283.4222383085236,288.735670447257,COL
1,153.78787376556662,159.8198077132678,COL
2,165.8208445846184,164.68822776041006,ANT
3,246.96024367171503,239.32608511028297,ANT
4,267.8673684210526,274.6907522668078,COL
5,245.0464203491364,234.7279739305864,ANT
6,214.88876695511024,203.0861985526745,ANT
7,143.52167826363387,139.96592150828795,ANT
8,227.58339902268398,224.65596442680135,ANT
9,299.32839673377197,297.5340961790087,ANT
10,321.107436033115,320.056823629734,ANT
11,325.48754167466666,321.459765692731,ANT
12,317.96399697234295,312.8189474031746,ANT
13,310.8164457825427,306.22059732119953,ANT
14,125.367183438346,132.6007628472957,COL
15,115.74442709599639,118.71667236738578,COL
16,99.12454581327354,97.50920128925442,ANT
17,239.94448240899473,235.8986295155388,ANT
18,306.15584704903864,302.08569657263155,ANT
19,317.6121522309775,318.21547648130996,COL
20,314.8109062533333,314.3273941807408,ANT
21,312.5970944296613,310.85976217620646,ANT
22,122.75939297044481,121.72740232700755,ANT
23,205.85184332538415,191.30811134379837,ANT
24,269.99526363659464,272.9418302353824,COL
25,,282.71874986666666,COL
