Minisector,MAG,LEC,Fastest
0,291.43019437654226,291.9543391955506,LEC
1,300.78584017914534,303.3369426488889,LEC
2,165.5745804619355,162.64179891612903,MAG
3,222.82906136000003,224.30776789730464,LEC
4,274.5427187639266,274.8195322,LEC
5,294.15426751681895,295.3427088,LEC
6,302.9139136,304.5303637405501,LEC
7,165.24022372708734,175.67545713439154,LEC
8,129.63273639619047,125.07060391597575,MAG
9,249.65980807974069,247.05642427669173,MAG
10,284.5455876392157,283.87818679215684,MAG
11,297.18125053333335,299.02138830222225,LEC
12,149.40901238666666,146.39368402655123,MAG
13,193.8771727304348,188.74891575652174,MAG
14,261.11025602242006,258.29802728421055,MAG
15,200.10625168888888,189.4386793532658,MAG
16,217.98542014387618,219.8186810267574,LEC
17,217.748836987013,207.75939973095393,MAG
18,242.18700924684077,242.90104298666665,LEC
19,275.8234369333333,275.53085988333333,MAG
20,293.78307259999997,293.13470861798055,MAG
21,252.7355580952381,251.09802397192982,MAG
22,217.88949266776984,217.35051816499006,MAG
23,200.6191058174553,203.96799432727275,LEC
24,266.6592404430237,266.56993598228416,MAG
25,282.1666666666667,,MAG
