Minisector,HUL,HAR,Fastest
0,278.7142856337373,285.28506646293266,HAR
1,248.60714914368242,246.50382802118708,HUL
2,267.0932510201504,268.74771774814815,HAR
3,277.127279748128,282.94511942019665,HAR
4,137.02326866769508,125.39269691186894,HUL
5,209.6928992874807,214.45699435002754,HAR
6,261.95510824531976,266.34476630711777,HAR
7,281.28306876046133,288.51285412346226,HAR
8,288.76576112569575,297.7502451956454,HAR
9,292.05514704313725,303.391927,HAR
10,269.61573995599866,289.15379373525604,HAR
11,100.89425724712383,101.18897990735276,HAR
12,223.4167225619385,221.4780567541731,HUL
13,270.2689329696819,271.02403397572124,HAR
14,266.8530943934976,268.53132219565805,HAR
15,132.31865698687156,132.18988344772438,HUL
16,203.79559469857423,207.81573750847178,HAR
17,255.7900104261647,256.9312071884721,HAR
18,242.65964801229856,256.7521109953382,HAR
19,239.54991503132976,244.97189368711187,HAR
20,144.4261375696062,142.4864735020376,HUL
21,192.45647523660983,190.90658592526577,HUL
22,174.10849935670186,171.36958015785066,HUL
23,188.3922466777456,184.16921620121173,HUL
24,249.94765216170686,247.736646249135,HUL
25,268.92500053333333,272.0,HAR
