Minisector,ALO,RUS,Fastest
0,268.8880529741497,261.70832856960993,ALO
1,134.90745638722973,131.08367941047618,ALO
2,194.4936299845695,200.39882227984037,RUS
3,244.33248270534799,245.05761132799998,RUS
4,259.69479077528746,251.30847406222222,ALO
5,178.80554473870825,168.7656753764532,ALO
6,147.74691929816797,141.63100930856774,ALO
7,178.83154474065958,182.0810596883117,RUS
8,98.6298882333448,96.00068115725871,ALO
9,74.60279587870582,71.72596794835387,ALO
10,89.91537950316759,96.77373778336856,RUS
11,174.844750974683,187.4110462222222,RUS
12,242.48221240334777,247.07080994140094,RUS
13,266.4530619820408,271.0242554130379,RUS
14,276.59847626779316,265.07702381714284,ALO
15,117.07487753267672,98.21641648150118,ALO
16,145.02427779446342,153.91509405968256,RUS
17,180.49478121142857,179.29330220348083,ALO
18,196.89294009481483,203.18110673006805,RUS
19,218.33466942201431,197.66709784458354,ALO
20,134.24842773705927,136.4541845298369,RUS
21,108.99966608809987,94.60753337432732,ALO
22,93.67173636662358,106.08302530546247,RUS
23,196.27677742010357,208.14357951370465,RUS
24,249.01159464313528,251.12467166222223,RUS
25,263.3812464,,ALO
