Minisector,SAI,LEC,Fastest
0,296.4162728967282,301.5524320950458,LEC
1,225.25541896892562,210.02574200060064,SAI
2,231.49722370087113,231.38814742439962,SAI
3,276.64947153939397,279.68816125709793,LEC
4,251.6913992961401,248.00143230454108,SAI
5,128.65326448060287,126.79428924150963,SAI
6,214.4716939868783,215.40027506349708,LEC
7,265.4507171157098,267.35519685514737,LEC
8,250.98028906079847,248.85899469793586,SAI
9,244.09050787214068,241.4904367403367,SAI
10,279.56462858327694,280.3279120447273,LEC
11,294.62217380136053,296.37082611032343,LEC
12,301.617169824355,312.3301948518788,LEC
13,305.6434125172487,323.46231532876794,LEC
14,304.6947316519529,326.26055559111114,LEC
15,257.9816441139231,270.9150268659377,LEC
16,247.08574627885386,248.44380150970107,LEC
17,280.78596909189645,288.6822848087075,LEC
18,292.6829165155556,310.3886002734362,LEC
19,165.3111291536853,157.02802641807668,SAI
20,212.776448708673,216.31523766387733,LEC
21,182.96245796669012,181.31256705987667,SAI
22,142.99189226324395,145.3345514544567,LEC
23,243.27237547329193,240.88850729592758,SAI
24,283.9871151912156,285.29190109429436,LEC
