Minisector,STR,ALB,Fastest
0,272.79639078717065,276.18247177777187,ALB
1,289.8743735017544,292.92444436542564,ALB
2,296.2050928,297.37437043809524,ALB
3,129.83574195017786,132.76172758696032,ALB
4,207.2014762553792,205.34273749333335,STR
5,258.7370720077563,261.2974209015873,ALB
6,144.35855789778455,151.82945180364447,ALB
7,214.53731077159614,206.10590395671724,STR
8,263.76919622857145,260.5611110095238,STR
9,281.10407255739347,281.8692981092732,ALB
10,251.59120436464315,250.08093130528138,STR
11,187.18347801116585,193.58771314829931,ALB
12,197.3445981925926,191.06450757502395,STR
13,143.01228321629506,162.0980887180375,ALB
14,188.32982231111112,170.77712511962983,STR
15,167.49045745,174.54654958333333,ALB
16,227.62704439917184,204.49834584245903,STR
17,237.26250045879917,246.56363665454546,ALB
18,241.86440219679645,234.61158366230515,STR
19,231.95181328695654,269.40952442706765,ALB
20,147.07107661128148,150.39236618059246,ALB
21,136.97363664616609,169.4119054952381,ALB
22,177.41100455151704,143.98029247200753,STR
23,152.54227846771943,160.48425003063699,ALB
24,232.08253074285716,202.92449550259315,STR
25,259.75,253.2136355878788,STR
