Minisector,TSU,STR,Fastest
0,286.6149453078261,286.6217694887613,STR
1,296.45172358325624,299.0918190315671,STR
2,301.7656359934503,304.91263366843776,STR
3,302.59426288504363,305.42395824761905,STR
4,185.36087570293776,180.25975435219823,TSU
5,216.41796559146667,213.73998375323185,TSU
6,263.1848905671163,262.6206797175911,TSU
7,264.6404322331891,258.70265637968254,TSU
8,186.0225839387496,180.01636387337868,TSU
9,153.52772019416796,138.87367668487798,TSU
10,182.16095796724596,185.5306030808964,STR
11,254.86792259972609,258.0872377196891,STR
12,245.90360317351792,236.63297604161914,TSU
13,230.43605601524897,223.6844778043721,TSU
14,263.2571767747068,262.70975042258533,TSU
15,172.9162962635294,163.52353998377438,TSU
16,219.71504801846982,222.62109364444447,STR
17,237.72762264656083,229.37622312602608,TSU
18,134.95439992976026,130.96352119796845,TSU
19,235.10586282512452,239.7378932495868,STR
20,275.05997691296056,276.05479160969696,STR
21,250.38296602424242,219.30275475484981,TSU
22,137.17558582535938,135.98102902203055,TSU
23,220.7841157859696,212.88614915467988,TSU
24,266.7100750780952,267.9775721961373,STR
