Minisector,LEC,HAD,Fastest
0,262.32087237756616,244.73312409481483,LEC
1,138.9479312019986,132.755980835745,LEC
2,209.02303761568626,202.33532847238095,LEC
3,246.11569408,239.7879383665687,LEC
4,262.02767862857144,256.3655445694115,LEC
5,185.6594126167726,184.11394737381983,LEC
6,150.84547776284444,145.6687114766432,LEC
7,188.83888750768165,183.6064629309146,LEC
8,107.22384905052607,104.33487081033712,LEC
9,72.87399600925689,73.86261470713883,HAD
10,97.87944471855202,94.35550708014854,LEC
11,188.4367531041666,172.5912503632253,LEC
12,245.15230601910142,237.21128210971253,LEC
13,267.8330948495238,261.45613553244044,LEC
14,278.2319598065934,270.35150449959184,LEC
15,107.37423197174449,114.81497652293146,HAD
16,158.95016494574904,137.41797313144588,LEC
17,191.87739541809336,181.28840174222222,LEC
18,205.63221768973546,191.163846058271,LEC
19,220.93432529837534,214.86405081723686,LEC
20,141.87544680317018,132.44989877469922,LEC
21,108.99187526636364,115.48899130665474,HAD
22,101.88320769278819,99.80484735788644,LEC
23,190.85127374486217,199.19132884825396,HAD
24,251.32992007111113,245.54290442983998,LEC
25,,259.92000512,HAD
