Minisector,SAI,HAD,Fastest
0,301.79907734349206,297.79263271771094,SAI
1,162.28484046972787,160.36217993343635,SAI
2,163.47875073986648,161.58417593044987,SAI
3,231.88327082040541,225.94735323694363,SAI
4,288.6710569065598,285.81825390732695,SAI
5,294.3078562691345,294.42511017744584,HAD
6,146.9197541671718,146.48481336808206,SAI
7,146.5897118464578,133.51286616568098,SAI
8,143.39125019521,139.83670119572344,SAI
9,188.43902723346605,184.51572355176174,SAI
10,140.74364080447668,135.4934316159758,SAI
11,127.1748487115329,130.09097716577836,HAD
12,172.27591855869727,161.30830992659068,SAI
13,268.85041519904473,265.5894212413135,SAI
14,294.1149781046057,292.5828091894136,SAI
15,156.49461659776412,145.97960995392236,SAI
16,191.791474018386,212.98420821062695,HAD
17,169.99394996871138,170.6014334531496,HAD
18,269.489092222473,268.6952569701933,SAI
19,293.7867396661192,295.07012493957313,HAD
20,308.1859679570755,310.03063250078907,HAD
21,316.4124817754788,318.38029590756065,HAD
22,320.4868139836007,322.10071313916495,HAD
23,323.86749341291005,325.62422461353384,HAD
24,322.51019239659524,321.94538341370315,SAI
25,322.0,316.21338933197944,SAI
