Minisector,VER,RAI,Fastest
0,233.08766474168985,228.6174742210954,VER
1,292.39986255999196,281.08186267375504,VER
2,315.6174219175361,297.2691666529524,VER
3,322.5680842571074,302.93039258944526,VER
4,284.1013342586147,265.1508816818342,VER
5,162.66177797742145,158.04119708053813,VER
6,259.13605837250395,255.87379549316913,VER
7,273.85116663466664,275.02638885925927,RAI
8,215.3993762969548,201.16930926312259,VER
9,218.51136664988113,214.17951501546338,VER
10,177.54699671993984,174.00593577846627,VER
11,220.82430283240328,216.54081854147498,VER
12,197.77627963507518,197.30187378284458,VER
13,206.65284074760157,204.47999862857145,VER
14,211.92386556695263,217.8505420711789,RAI
15,178.9608724284812,174.7735951283759,VER
16,242.97694892366277,242.47972072775042,VER
17,284.4058378408244,283.44071220515383,VER
18,300.37045221790476,297.475666688,VER
19,284.91864312685715,292.53696549104046,RAI
20,129.1007642979292,126.99973791653424,VER
21,158.51666457061523,152.4112979849801,VER
22,146.97304881777458,144.75545453638406,VER
23,203.26444834131553,198.021630421703,VER
24,143.96076152642954,141.0017204665274,VER
