Minisector,GAS,OCO,Fastest
0,316.2754774,320.77381928663544,OCO
1,319.0162526144927,329.14311573333333,OCO
2,312.6970645212121,324.9343614060606,OCO
3,202.94859422253737,209.4695682546062,OCO
4,125.56308713469704,115.50079999280238,GAS
5,264.90385750123454,262.1608770947474,GAS
6,295.48208563352796,299.88041141091975,OCO
7,301.82638888888886,311.6298261561511,OCO
8,272.35181667179717,284.49633339733333,OCO
9,151.62257900642666,143.9902232087871,GAS
10,225.60143267619048,221.1139725846966,GAS
11,222.79787962534925,220.35186416930551,GAS
12,203.11955362285713,201.39563672294526,GAS
13,268.1103830857143,267.5479478511665,GAS
14,299.03886386031746,304.15036266666664,OCO
15,307.64692030144926,315.80985405501,OCO
16,263.34347481904763,268.50129542312925,OCO
17,214.26050455919193,204.18352602776267,GAS
18,272.7187952996337,270.04492633229506,GAS
19,301.7524998217143,304.8587737200931,OCO
20,307.36990406321655,316.75572919999996,OCO
21,297.4711809269841,306.9246242363441,OCO
22,219.46190107689992,209.40204455914275,GAS
23,265.5975304296296,264.52291606352514,GAS
24,299.43076287199267,303.1615297613362,OCO
