Minisector,ALO,STR,Fastest
0,279.4012531496013,278.51955380796505,ALO
1,129.3110914281704,123.6787161075202,ALO
2,154.3418028358773,157.78660398118043,STR
3,206.75067296256532,211.19363806984126,STR
4,165.9950696784849,159.02115007345668,ALO
5,242.73875995787117,241.4474663064935,ALO
6,220.04709686176048,217.17007622194618,ALO
7,132.7959509094466,130.1402307501816,ALO
8,232.71748408380952,230.3338676166234,ALO
9,274.97063267506724,280.72845413438984,STR
10,284.5215125252149,285.83816672466685,STR
11,150.9588441407898,139.78007873888708,ALO
12,216.40438204225148,214.77713029906985,ALO
13,266.66661298023496,266.8860720839506,STR
14,264.100819441552,257.1892317741177,ALO
15,101.24368694741702,96.75290557376483,ALO
16,213.42090535996994,210.7247672023088,ALO
17,269.18329043666273,273.8021641441423,STR
18,289.7771648194211,301.86695102372187,STR
19,300.4487514969705,318.5157777208889,STR
20,304.1656862745098,328.5721725485714,STR
21,284.3120300203654,270.1748131495284,ALO
22,151.45840586080237,143.10432625382035,ALO
23,232.45398366766744,233.9930739741799,STR
24,275.4656510430461,282.93784711064654,STR
