Minisector,SAI,NOR,Fastest
0,321.6554026816506,321.76982399337476,NOR
1,328.53409090909093,329.0450757575758,NOR
2,324.5268542251026,322.90634059130434,SAI
3,204.85844379099098,187.1632206075188,SAI
4,120.46691197978983,120.30816175625503,SAI
5,264.8270592490508,265.18589810512447,NOR
6,301.37226586190474,300.7266865079365,SAI
7,309.6542184679089,309.9640624888889,NOR
8,274.68146246424556,270.6413580246913,SAI
9,146.87947643128842,144.33001414279792,SAI
10,222.03742764329004,217.38785475445846,SAI
11,219.15460191869633,220.142578125,NOR
12,202.58749884444444,201.4356261912214,SAI
13,270.43778783369333,272.42047619047617,NOR
14,304.9479972167328,306.2094469620722,NOR
15,313.2031197537958,314.23333333333335,NOR
16,262.0933020952381,256.5666402411291,SAI
17,210.52363105025137,212.20165945165945,NOR
18,274.3164289584762,275.22861861649073,NOR
19,306.36436958023387,306.99528985507243,NOR
20,315.33020189151136,320.1050724637681,NOR
21,300.9460167616841,301.888307756548,NOR
22,213.18112038592065,211.94545316309146,SAI
23,266.5996701232358,269.1721907432907,NOR
24,303.819125344,304.9032608,NOR
