Minisector,SAI,KVY,Fastest
0,268.20942706484635,270.5763802486683,KVY
1,133.71672328771143,130.5518698025251,SAI
2,194.9210848588236,196.692250694428,KVY
3,248.48418337651947,245.10932889901324,SAI
4,262.5105543356989,261.31089986845035,SAI
5,172.22731021866838,181.93527973518724,KVY
6,140.94458327426435,147.03097056629036,KVY
7,178.05889178521505,180.19936119237892,KVY
8,103.71949974301548,103.18172505937719,SAI
9,71.45408065088652,73.51423249941935,KVY
10,94.44920961024344,90.83525942258144,SAI
11,181.21137688485135,171.63492726394162,SAI
12,250.3649190938738,242.068989631735,SAI
13,273.6130322817229,267.92256103224565,SAI
14,285.67596420660874,282.20322767043024,SAI
15,113.04036410646367,128.1412607872392,KVY
16,145.30723107437635,127.11048095566797,SAI
17,187.26220431044862,192.95692459528217,KVY
18,191.5555493793974,189.29451357437247,SAI
19,208.74813501073584,217.991255256742,KVY
20,133.53667681684132,132.7542325920735,SAI
21,112.32743222342754,126.71175373899062,KVY
22,92.65256495204001,83.63537552619421,SAI
23,195.0331739531884,181.81285589004182,SAI
24,253.93560955208477,245.14741491330432,SAI
25,,262.60416533333336,KVY
