Minisector,HAM,LEC,Fastest
0,262.8482457263158,267.2907635039946,LEC
1,296.9365170579788,297.8022353274556,LEC
2,310.8209328,313.01047671873016,LEC
3,319.64974598165793,322.3552618096929,LEC
4,324.5854166857143,327.9624390116233,LEC
5,327.44481299591837,330.8773384272109,LEC
6,282.46176269803925,278.45514290196076,HAM
7,116.6571866504602,117.40703837420196,LEC
8,149.7217455311629,156.69574220949931,LEC
9,251.04890414035086,255.1919002666667,LEC
10,288.72526073333336,292.1062506,LEC
11,231.25467476049403,252.17453684996033,LEC
12,93.94797403424116,94.58725835779089,LEC
13,113.39396004484925,111.46541662857143,HAM
14,214.50357211428573,214.9614963452956,LEC
15,196.1744285927619,190.3916656888889,HAM
16,222.96570234198708,218.95750567682313,HAM
17,195.5388888888889,195.37088217777776,HAM
18,221.42434457142858,223.332768816809,LEC
19,271.8230393098039,272.24088613333333,LEC
20,289.50946714626565,290.03259695686273,LEC
21,155.8471288275862,160.48548277652213,LEC
22,102.76497128887652,103.37656601387098,LEC
23,123.75450372612613,121.11349999712941,HAM
24,205.3366496015959,202.49465423796494,HAM
25,,246.6625024,LEC
