Minisector,VER,LEC,Fastest
0,271.48414440624555,273.63360506896333,LEC
1,296.5654916480808,299.35026004086575,LEC
2,311.6037617579965,313.10221886058366,LEC
3,318.0357378979744,322.0975001884444,LEC
4,322.3868590993007,325.54702395646257,LEC
5,323.89579476389343,324.4665909697048,LEC
6,194.50472123500995,184.09583805938595,VER
7,107.11940648909771,103.33188427531057,VER
8,184.9400874999034,179.04728532717948,VER
9,259.994010689801,258.9766765792579,VER
10,289.2889396997442,288.9026840407843,VER
11,169.96066052568543,177.08932234396087,LEC
12,100.76607765938321,90.8600471445622,VER
13,114.53758203985608,108.04752467226733,VER
14,220.4414608795228,215.7959015817888,VER
15,188.2417106070226,178.81498264431744,VER
16,223.89554622713754,218.75303726100736,VER
17,176.82495946481052,176.59528666285715,VER
18,234.51729000973543,234.39678801283026,VER
19,273.9344899063168,275.4440362066007,LEC
20,241.36229764571428,254.69724204156748,LEC
21,144.87592633223778,145.43349892765013,LEC
22,95.70110987911364,95.6225635792416,VER
23,124.88632413370064,119.83664067025857,VER
24,222.994038631101,220.14640823188645,VER
25,254.52142994285714,256.2625,LEC
