Minisector,RUS,OCO,Fastest
0,280.03725054839003,281.9406488462027,OCO
1,150.00580410233198,155.82115407366229,OCO
2,179.39569966389962,169.87604407330883,RUS
3,249.77236125102368,243.7377268679241,RUS
4,280.7466079344427,274.32749979592285,RUS
5,242.60013945541166,229.77588132166107,RUS
6,225.68809458637588,213.96805929517396,RUS
7,156.7223317688889,152.02315308072215,RUS
8,232.32851530793653,233.2768296348385,OCO
9,279.7053844125888,281.5129291617015,OCO
10,297.36239737797956,298.7452707358214,OCO
11,304.58052450865677,308.3795486622579,OCO
12,307.30341539954657,309.89792861942857,OCO
13,296.6993307498565,298.9486258013816,OCO
14,128.55946097040132,122.76084382387712,RUS
15,119.33816934543952,110.2448201429228,RUS
16,100.51639247179249,101.67931712355403,OCO
17,234.8728928799825,235.97384736240818,OCO
18,286.89428478154497,285.01252627205696,RUS
19,302.28771930760234,304.0365547621739,OCO
20,309.9121202873686,315.618202105679,OCO
21,307.45805623318904,313.367831027451,OCO
22,130.42432938779157,116.34550744361441,RUS
23,204.60013076820593,208.07557085453234,OCO
24,266.95717991201366,265.21219808783394,RUS
