Minisector,PER,MAG,Fastest
0,230.62046782495003,230.50109062474067,PER
1,283.0313329913834,278.90121303425207,PER
2,299.3041159162772,295.35258913428834,PER
3,306.61304782803165,302.6677975847619,PER
4,275.1183394041562,277.70465083146576,MAG
5,164.94318482799517,165.3961936286768,MAG
6,259.5292810053604,255.97978111510932,PER
7,279.4973365715933,278.1167203471614,PER
8,210.99143421959963,222.66527123275213,MAG
9,216.7620920248461,216.79138443923202,MAG
10,183.64452419666583,185.4933149887996,MAG
11,225.4962340275169,218.16685614454747,PER
12,200.16148304388827,210.09516385711757,MAG
13,211.4110833760981,217.81163767481655,MAG
14,220.21004292562708,219.5265486283166,PER
15,176.74047250453918,182.0246878265232,MAG
16,242.64876311882898,241.34286252993024,PER
17,286.4804657853765,282.73376265975094,PER
18,299.9411990772853,297.65061596415933,PER
19,287.53987576302336,293.8184020456297,MAG
20,131.37053733096536,139.24738602413834,MAG
21,168.24703847654152,173.72326194897695,MAG
22,149.07319792499595,136.52551623247834,PER
23,205.00157598340684,218.34756173628213,MAG
24,147.156369132613,141.1768473908743,PER
25,178.80832426666666,167.39666431999999,PER
