Minisector,ALB,HAM,Fastest
0,299.35027754158733,303.869166264254,HAM
1,168.53306257025451,162.7591296523126,ALB
2,177.0061747212179,174.68399874504814,ALB
3,257.59269472832705,255.62395529535857,ALB
4,286.366485244839,284.59093428147406,ALB
5,246.91033313523812,255.51260528285454,HAM
6,226.27251772763523,224.25293326358386,ALB
7,149.55700343091002,152.76727777417764,HAM
8,229.31662812814102,222.81180362994644,ALB
9,286.04937698597666,280.34155387273984,ALB
10,306.7617559917649,303.9298603321763,ALB
11,316.3473793936842,320.963605002164,HAM
12,320.99017541614035,332.8518827512424,HAM
13,322.47003286736845,331.8232537760401,HAM
14,129.9491825331789,129.17624340089463,ALB
15,115.91696968842068,115.56868830459338,ALB
16,103.48939682653943,101.0396202124016,ALB
17,236.51050794466073,232.5695728248004,ALB
18,288.47284293269007,284.2122658687159,ALB
19,308.1643561295031,310.9902442399192,HAM
20,316.9910663568254,327.49882951298247,HAM
21,320.7909352116368,331.725314907442,HAM
22,129.99282372243914,126.85301639991232,ALB
23,202.47001957029028,201.42266049835126,ALB
24,272.4039805303921,272.2835863118742,ALB
25,,291.77000192,HAM
