Minisector,BOT,LEC,Fastest
0,233.14918018713226,237.54768283061009,LEC
1,283.1293081478594,287.59235618622307,LEC
2,297.5310471330797,303.1949699899354,LEC
3,303.9537734242782,309.9636157013151,LEC
4,277.05489682150323,278.650506025879,LEC
5,170.37741334546902,168.63438675314282,BOT
6,262.46356064247203,266.1394387075789,LEC
7,280.4036182231495,285.77874890927865,LEC
8,220.18166565802622,222.2567149312575,LEC
9,224.8334964976547,222.59979532305854,BOT
10,186.81019733108496,187.4027132159583,LEC
11,225.73216994638898,225.1025878908727,BOT
12,208.88529929230643,209.9013880114336,LEC
13,214.56622062186923,219.18557822754158,LEC
14,223.34622220988842,223.79765822033124,LEC
15,185.1816285090382,183.28196370364665,BOT
16,246.56233669207074,247.41071089401328,LEC
17,285.3196452390194,290.3963194890736,LEC
18,298.9506000642423,305.56369056507936,LEC
19,288.33242956704845,304.0411425095913,LEC
20,132.38357508598634,135.84102841891738,LEC
21,164.17330400981433,172.35898193792642,LEC
22,156.14016241948508,140.96522647641265,BOT
23,209.88859685540305,216.49103464549503,LEC
24,149.93534862302045,147.5234915355961,BOT
25,188.38750293333334,184.39906065632013,BOT
