Minisector,ANT,NOR,Fastest
0,309.41602025396827,294.87515251176035,ANT
1,160.39678572239492,158.93303502997304,ANT
2,153.0390170635358,155.98530707131457,NOR
3,237.14775486224485,229.91023135854556,ANT
4,290.6510734172135,295.1121899583893,NOR
5,283.3620522888808,294.3075843828764,NOR
6,145.71010102713956,146.90298477552273,NOR
7,152.18749860827216,137.5252021175999,ANT
8,137.59636338959905,140.1492963118569,NOR
9,199.1647418084764,178.87819477488546,ANT
10,126.29951629669648,130.46176292977322,NOR
11,126.7899132641638,132.37095192204302,NOR
12,172.10723630756968,166.48560844460386,ANT
13,271.05879799180434,267.5023652131728,ANT
14,296.61144386253534,292.56622369201233,ANT
15,144.80223101355196,151.64751230318558,NOR
16,208.72405108718277,213.75362910289513,NOR
17,176.512212215522,163.20396714001706,ANT
18,271.97601164765734,267.25102091409315,ANT
19,297.4444284901194,295.97841634117407,ANT
20,311.67786130856655,310.18195436305666,ANT
21,321.55629748338083,319.281086476266,ANT
22,326.1721522336258,326.43997797564106,NOR
23,330.0993252286967,337.4778097271338,NOR
24,329.56747878341014,340.96698252605523,NOR
25,,341.41412256314806,NOR
