Minisector,BOT,GIO,Fastest
0,319.7487155729323,317.37105996190473,BOT
1,327.2125,321.08981478095234,BOT
2,323.8370699936508,323.7887633156944,BOT
3,167.34453977512507,173.20349732624808,GIO
4,140.01978873924799,134.80145858566027,BOT
5,271.47310970289703,266.85433991111114,BOT
6,302.02810759164976,296.9355654144091,BOT
7,315.2281250666666,304.0029761015873,BOT
8,249.51784271992773,261.47948033425547,GIO
9,156.3597515229451,150.77302405946574,BOT
10,224.86050862983322,216.93211037173987,BOT
11,232.23747350823774,228.66249923809525,BOT
12,210.57481695792904,197.52555291362305,BOT
13,279.19873238260874,272.8160976,BOT
14,310.0471175136869,303.31964266666665,BOT
15,316.6817981192982,311.06077381333336,BOT
16,260.91475595555556,245.089218414652,BOT
17,215.5724509335409,216.55861929195402,GIO
18,277.9448055757576,277.9139114203918,BOT
19,308.58509902509945,305.6808925485714,BOT
20,321.7124060551379,312.19868407017543,BOT
21,306.2959092364648,298.2958316908339,BOT
22,219.52032028899833,208.5752048101587,BOT
23,273.5589885866329,268.1464927455391,BOT
24,306.2400794920635,301.1347910933333,BOT
25,,311.0,GIO
