Minisector,PER,HAM,Fastest
0,306.91494789666666,300.08032960525435,PER
1,243.68937460690427,228.93905938285712,PER
2,127.37278539247166,130.15851961184296,HAM
3,215.6020430442612,218.37009856914287,HAM
4,259.7549222518822,260.51397192301386,HAM
5,291.4814072927731,283.64663421911087,PER
6,311.78066309224494,295.7461344578151,PER
7,269.4442013917983,276.87798370970773,HAM
8,167.84917844848482,170.61639281794157,HAM
9,239.84488911221706,234.3525662271473,PER
10,267.04610419208024,270.6173390886827,HAM
11,258.4062220287834,246.8389876238961,PER
12,203.17070102534214,197.98317045964538,PER
13,122.85652168089966,121.88013595194654,PER
14,123.96167388767053,121.51788162736645,PER
15,161.92947776389633,159.42717815144368,PER
16,119.4324664391619,122.21013190917172,HAM
17,224.72481230973085,223.82320031900582,PER
18,158.21220611834394,183.63421256883115,HAM
19,153.72603798797886,149.75157922349442,PER
20,241.6017477682055,243.17008206961037,HAM
21,273.0812134081871,269.00097795266186,PER
22,292.6138348487089,285.4471038914286,PER
23,310.43825375492065,294.8593441659259,PER
24,320.6581885308552,298.5966146,PER
25,324.0,299.88194453333335,PER
