Minisector,RUS,HUL,Fastest
0,274.4175734002771,276.53304072982456,HUL
1,299.99561152,303.7305241866667,HUL
2,314.0067768420024,316.19989972644385,HUL
3,321.5780991866667,324.08904394666666,HUL
4,325.6182603870145,328.0,HUL
5,326.4418807791746,329.30705240584973,HUL
6,209.09241370020496,209.8640271968254,HUL
7,104.5253684922172,104.81541165620828,HUL
8,193.70562654507142,185.0552618642855,RUS
9,261.03495857296576,262.61722009493764,HUL
10,290.18512670102535,293.1493703020078,HUL
11,171.3028988520118,164.78218052066364,RUS
12,97.01942422779399,99.40582969498513,HUL
13,114.16241650560228,114.81661387314934,HUL
14,217.5892235826087,225.1343694402126,HUL
15,192.07765713199834,191.8615621748736,RUS
16,228.09489792581817,231.96943029168034,HUL
17,185.03395352808857,181.42209889619602,RUS
18,236.544711545034,239.41186370933332,HUL
19,276.5178429028571,279.0790879719298,HUL
20,248.8452067204637,258.12025225680674,HUL
21,149.4824952083117,148.44836109714,RUS
22,99.49522754150372,98.7308052068184,RUS
23,128.4106183752034,122.40578687568998,RUS
24,226.64131081142858,217.58735817094484,RUS
25,,260.0,HUL
