Minisector,SAI,PER,Fastest
0,232.34062553319205,230.62046782495003,SAI
1,281.3192551619048,283.0313329913834,PER
2,293.8250407772107,299.3041159162772,PER
3,298.65615485231405,306.61304782803165,PER
4,265.86201694677794,275.1183394041562,PER
5,166.68272311122382,164.94318482799517,SAI
6,262.1277989870886,259.5292810053604,SAI
7,280.0480587878788,279.4973365715933,SAI
8,217.30849273163383,210.99143421959963,SAI
9,221.11644993613442,216.7620920248461,SAI
10,181.45964228192645,183.64452419666583,PER
11,221.48635246369514,222.93342609399804,PER
12,209.76615636037354,203.90727417427155,SAI
13,214.1813779427515,212.79145282196805,SAI
14,220.65828338546893,217.36693958769604,SAI
15,178.74581897905753,178.84351484607976,PER
16,245.9463944307055,242.64876311882898,SAI
17,283.5347486146707,286.4804657853765,PER
18,295.7530918005056,299.9411990772853,PER
19,287.818425565368,290.2007792067971,PER
20,131.264281050797,132.43034041424937,PER
21,161.3581254926863,171.23388030110291,PER
22,151.93327365506147,144.93583688177898,SAI
23,203.28043378259557,207.9293535478513,PER
24,144.47885647347167,146.31915983028742,PER
25,180.76666666666668,175.90416213333333,SAI
