Minisector,VET,SAI,Fastest
0,306.8757593212121,317.7257647455782,SAI
1,162.19166740666455,155.76967094573644,VET
2,164.19592126871743,160.10344959332494,VET
3,210.39488031899046,204.69743589363873,VET
4,280.87922860845583,284.215314604329,SAI
5,298.38679109185955,297.228976630303,VET
6,151.01467905852078,145.99496702460945,VET
7,140.848924871978,137.2708785569224,VET
8,164.49945780408828,161.82672261351695,VET
9,155.845714706715,154.31882848006708,VET
10,138.08027205129272,137.50740664091353,VET
11,129.146442986224,132.01188607820646,SAI
12,151.09965799179622,143.26581430909093,VET
13,261.5499135555555,259.00272817330455,VET
14,290.0327941646508,283.7108915701791,VET
15,156.86934417777778,155.77239629863325,VET
16,209.19423022053277,206.35337302237727,VET
17,155.23183074289884,157.90694945182972,SAI
18,264.9690398095238,263.1866288158737,VET
19,289.08513783775015,290.348032920911,SAI
20,303.02341737835496,301.6278829496897,VET
21,314.01812501333336,311.5904760888889,VET
22,317.7177633395111,316.6724999466667,VET
23,329.3936608457143,321.18848793724845,VET
24,334.4936251077459,316.4693184,VET
25,330.3083338666667,,VET
