Minisector,HAM,STR,Fastest
0,278.70165003519134,276.24189986938774,HAM
1,297.99230106478325,298.5210548733654,STR
2,294.27604732026714,289.9912143908571,HAM
3,186.72728923977766,177.51160070889938,HAM
4,119.81700245475825,115.40226316130624,HAM
5,236.18884538494623,234.27446110967742,HAM
6,285.4973260576535,283.0934466472836,HAM
7,296.5652776,292.23516727466665,HAM
8,181.90195095321263,170.67438756039277,HAM
9,142.27977935667357,138.0995390362761,HAM
10,248.88520228045977,247.9287344183908,HAM
11,288.5971199918777,289.6902699999169,STR
12,298.5468993968254,302.2971668906667,STR
13,277.96656506765027,272.9121452882649,HAM
14,297.667067454164,292.75992826514283,HAM
15,300.5436257206349,299.9213907720403,HAM
16,252.6366508514666,249.24521884269294,HAM
17,225.55168322480617,211.42917467705954,HAM
18,280.59785111622693,274.933012225641,HAM
19,302.4512155111111,298.7979962001941,HAM
20,303.53896512378157,297.01602466172847,HAM
21,235.7536632190476,224.50616860958638,HAM
22,261.82231701694866,250.9647125310094,HAM
23,142.11763170990167,135.106687902063,HAM
24,211.86813885490196,206.33112155146782,HAM
25,258.5833386666667,258.0166656,HAM
