Minisector,LEC,MSC,Fastest
0,275.1438111613968,271.79488722962964,LEC
1,295.93170087785734,291.7916885445614,LEC
2,295.20112467167917,289.42012118342177,LEC
3,182.46538389021944,167.62110425676985,LEC
4,116.59633444672015,118.26446863954786,MSC
5,232.5276931029228,234.71468340287984,MSC
6,278.70654167466665,279.2911376064771,MSC
7,291.1714339667725,288.97433435533515,LEC
8,175.27427869213608,173.51652846089206,LEC
9,141.05385110480896,141.2776547861098,MSC
10,246.58816492685423,247.47064517631756,MSC
11,287.2868067970724,283.0615505872132,LEC
12,301.7695502899471,287.38445109682664,LEC
13,277.95556890189073,273.45299840873173,LEC
14,295.0473244092562,291.7816892449282,LEC
15,296.73920626109117,286.5488078094472,LEC
16,252.5837780056104,236.60322181756615,LEC
17,217.7010610158016,223.67604932100969,MSC
18,274.63669234688706,274.6896966595828,MSC
19,297.01476449209343,296.0013509781864,LEC
20,299.510514980304,297.788519831579,LEC
21,229.43339487998907,229.17193654098426,LEC
22,256.3113415851764,252.68359262925517,LEC
23,137.318510127523,130.00539256157418,LEC
24,216.81510448454347,215.0806809601979,LEC
25,258.6041706666667,,LEC
