Minisector,BOR,ANT,Fastest
0,267.8937841542562,270.11808700739044,ANT
1,287.0344276355556,288.2040345099112,ANT
2,291.90977564024604,295.68827050047616,ANT
3,133.32571965748164,124.95537167786398,BOR
4,195.98449907386396,192.8022843710446,BOR
5,253.66014657923097,256.70063806753245,ANT
6,139.99204475259637,143.55373028427732,ANT
7,207.9056748608919,201.38214019417256,BOR
8,258.1654840674143,255.25841576114286,BOR
9,277.3316762772161,279.6544335759626,ANT
10,235.37428795292234,236.47911455560697,ANT
11,187.0982578143818,183.49946373790775,BOR
12,194.5774187066481,191.44463010977148,BOR
13,144.7640537532581,139.8836744703129,BOR
14,173.55982241289607,173.0015454784699,BOR
15,166.40396375891828,160.82859864407098,BOR
16,221.48235850596993,215.68714461758105,BOR
17,236.13471265904764,237.7643436269022,ANT
18,242.91244294603175,240.35575773825292,BOR
19,246.99841541624113,232.12518598845534,BOR
20,141.82462917288515,144.31654102737826,ANT
21,130.05098510578213,134.78841202664063,ANT
22,170.73318975719994,168.003490925756,BOR
23,152.75665644570708,152.31704681044047,BOR
24,229.86932802857865,230.05162248971618,ANT
