Minisector,TSU,MAG,Fastest
0,286.6149453078261,286.18949404145457,TSU
1,296.45172358325624,296.5339536132765,MAG
2,301.7656359934503,301.17418147817733,TSU
3,302.59426288504363,298.9176599012063,TSU
4,185.36087570293776,192.27141248231163,MAG
5,216.41796559146667,210.59982387106226,TSU
6,263.1848905671163,262.83882970248504,TSU
7,264.6404322331891,260.3795402095238,TSU
8,186.0225839387496,183.7358565662215,TSU
9,153.52772019416796,145.0086902373743,TSU
10,182.16095796724596,187.1201177236496,MAG
11,254.86792259972609,257.16383978607297,MAG
12,245.90360317351792,242.2072776114614,TSU
13,230.43605601524897,221.21521161221,TSU
14,263.2571767747068,264.5671350672708,MAG
15,172.9162962635294,165.71427500197473,TSU
16,219.71504801846982,219.0604163496763,TSU
17,237.72762264656083,225.920030996493,TSU
18,134.95439992976026,129.43463068836735,TSU
19,235.10586282512452,243.45333293389436,MAG
20,275.05997691296056,276.02683046002886,MAG
21,250.38296602424242,225.07823953262888,TSU
22,137.17558582535938,136.47960195819246,TSU
23,220.7841157859696,211.2570862961913,TSU
24,266.7100750780952,266.24889890208755,TSU
