Minisector,RUS,MAG,Fastest
0,242.6475984644217,238.59465882082426,RUS
1,271.7682535908358,270.4172393321265,RUS
2,177.92496771008368,172.42691287104057,RUS
3,155.67872092500716,149.22412285512294,RUS
4,257.74821438802724,254.23261256916996,RUS
5,268.8202632489337,264.6710940203958,RUS
6,228.71498244962962,216.74386169516387,RUS
7,208.50378542787016,192.44318421927466,RUS
8,160.5913149664378,149.02987173475935,RUS
9,216.75209178461057,207.75993508910054,RUS
10,272.2511966672811,266.8871076779586,RUS
11,123.49083062431235,118.35939354029055,RUS
12,210.6568851446276,204.54488160372486,RUS
13,269.38707160076194,264.2523449265151,RUS
14,290.03635443232326,287.01327999999995,RUS
15,298.44880952380953,295.14971210443616,RUS
16,234.68680165577533,242.50217850730158,MAG
17,135.23197349089162,132.4354124439751,RUS
18,137.5732823925665,130.17336029427153,RUS
19,123.25788465162792,117.18273400664401,RUS
20,228.06253851076923,221.1158392145159,RUS
21,258.31163120765217,255.3296556752137,RUS
22,233.1879609094083,225.77556340312015,RUS
23,216.679427022281,196.1012430483543,RUS
24,138.56619190932403,132.9837504780221,RUS
25,210.20000426666667,,RUS
