Minisector,NOR,LEC,Fastest
0,271.92873250562195,269.03541758548755,NOR
1,251.46336912787092,249.33055917928377,NOR
2,118.53289174101741,118.80898722234048,LEC
3,169.14204519736035,167.15712449738376,NOR
4,196.97327890229278,198.8161285503952,LEC
5,195.03229650648203,195.1946039913975,LEC
6,263.4506924364626,263.10566543588124,NOR
7,286.1806043687619,287.4404449879681,LEC
8,224.97460080263954,247.9860809476644,LEC
9,143.52531568467106,141.903796764465,NOR
10,112.15670925955258,107.79414768595757,NOR
11,153.89476226831042,145.5160939306304,NOR
12,244.35001243255863,239.1588675437714,NOR
13,149.90665412404994,152.8056160166933,LEC
14,141.31992613965,138.527665999569,NOR
15,107.57995703240941,105.43149839403314,NOR
16,216.92314436097158,208.39136204336702,NOR
17,231.34475274891255,240.48573599670524,LEC
18,125.09902056703005,126.47752746099667,LEC
19,238.2244776518595,236.53988272171847,NOR
20,275.54628634324206,275.7252657960173,LEC
21,210.3959696152381,215.2197151794081,LEC
22,138.20433826753646,136.36448291112515,NOR
23,213.05959125090908,213.59035461876363,LEC
24,224.53894401135074,217.16142126822513,NOR
25,,254.7285741714286,LEC
