Minisector,ALB,PER,Fastest
0,320.1284231556663,322.326756167619,PER
1,326.99953507032444,330.58312512000003,PER
2,322.0502383009524,326.76537699894175,PER
3,170.17899558204834,171.35263482316603,PER
4,134.6152659546547,137.75242405774853,PER
5,268.7600492503556,269.6009054144928,PER
6,301.1035374017403,301.69079090709454,PER
7,309.075,316.60895818666665,PER
8,257.9682619977143,258.34205132518395,PER
9,156.02973076178915,150.7036899504762,ALB
10,223.63664108140162,222.59575843887689,ALB
11,224.87709736780045,221.0632597393305,ALB
12,201.2332607172414,198.87663168786483,ALB
13,274.75659693333336,273.55698600043826,ALB
14,307.8419640380952,307.9735774251629,PER
15,316.9823107714873,318.90833333333336,PER
16,263.5294359384681,255.95300168533333,ALB
17,217.14940155246006,208.9005591580898,ALB
18,277.17130374801644,274.70721853385004,ALB
19,309.8336618825924,309.3022867007519,ALB
20,321.98552639999997,322.35551284280757,PER
21,298.3909121499321,303.71781357333333,PER
22,212.7322658662288,210.29696153844264,ALB
23,271.32151355577463,268.45789974025973,ALB
24,305.0961452553288,305.0365643900227,ALB
25,,317.19166613333334,PER
