Minisector,SAI,TSU,Fastest
0,292.4956301047811,294.7299877512739,TSU
1,303.7802046735749,306.6285052667403,TSU
2,307.923499968,306.52482978500797,SAI
3,187.15118556577735,182.8513619963049,SAI
4,208.7900637840191,213.29179264804077,TSU
5,202.267608465691,200.89765470071475,SAI
6,263.5887026078223,261.569631482353,SAI
7,253.08597974221516,251.68250443015057,SAI
8,211.99679130373627,206.00186803480844,SAI
9,210.10486179946187,206.47329936317433,SAI
10,141.49498981626317,143.04992517242675,TSU
11,199.20084669310353,189.91641363788753,SAI
12,184.33113802391168,192.43914162948005,TSU
13,249.28888381809523,250.707417781271,TSU
14,181.12665398510705,177.2626754241512,SAI
15,233.01578426598292,237.40435284799835,TSU
16,280.57425756688053,282.09499796680274,TSU
17,290.6984016578483,293.02111108972593,TSU
18,281.8102639746494,284.3273875705041,TSU
19,267.2176533350424,263.6419458588669,SAI
20,269.9453261711977,259.44273127660796,SAI
21,261.91658363195745,265.1665437385621,TSU
22,226.53414009550528,225.54597514517374,SAI
23,214.51310706167743,210.2823482521811,SAI
24,267.9681001088765,271.5020740941774,TSU
25,284.2,,SAI
