Minisector,SAI,HAM,Fastest
0,284.2613781412448,295.4111663869804,HAM
1,144.63276896772203,147.27377355340806,HAM
2,223.39817688743054,223.4939439963186,HAM
3,282.37726049102304,280.73313044462583,SAI
4,313.2459211064935,313.4246593575287,HAM
5,296.7213670552611,303.56120996502165,HAM
6,157.16688545531463,149.95021227934396,SAI
7,243.46300002942527,253.6158394805091,HAM
8,111.39301185901671,115.89779099769235,HAM
9,173.7552070181061,169.84649018378067,SAI
10,278.10864236345594,277.97612433285906,SAI
11,299.29063113650795,303.6736470805308,HAM
12,217.49673098343433,211.42456412310906,SAI
13,171.13845825851902,175.86409650613098,HAM
14,280.9609590177655,281.9105364115237,HAM
15,313.0808912592208,314.21959080137117,HAM
16,328.156175622774,327.8394865080277,SAI
17,335.4316613276564,334.7443361314611,SAI
18,339.7942176653061,338.15157382550655,SAI
19,336.09304469485716,339.81628843431224,HAM
20,185.7514846384963,187.91005259224738,HAM
21,183.35350257997425,172.11082759169787,SAI
22,282.5595170218128,277.84615823280427,SAI
23,312.2612174700345,313.13585660687494,HAM
24,321.57585008549097,325.9612572765247,HAM
25,317.77499985454546,326.15515895873017,HAM
