Minisector,PER,PIA,Fastest
0,284.8371156675571,281.4335195138087,PER
1,137.11258716610192,142.34879750102286,PIA
2,212.6865898237825,220.54709851799944,PIA
3,285.7144837141395,281.8105910370025,PER
4,321.4968166587251,312.2541581098044,PER
5,312.78533834586466,306.6045626007722,PER
6,151.94544101113453,149.2783751867376,PER
7,241.51024802515366,229.2774197065065,PER
8,108.8171748578989,107.74770481524615,PER
9,168.20331944755338,174.60015675405072,PIA
10,275.5488838537724,279.3464846014265,PIA
11,299.36444979320623,297.4541251191185,PER
12,220.28418823892025,206.07949493716856,PER
13,175.34269283016414,178.849694158647,PIA
14,277.56845453970584,281.90968397839737,PIA
15,309.29317222215155,311.40925860956924,PIA
16,322.97134379824706,325.1868579347042,PIA
17,331.81277454984763,332.8924228396653,PIA
18,343.3265538269355,334.14365071481035,PER
19,348.28528313687076,327.90286617247466,PER
20,189.56850902996877,181.0028482406211,PER
21,174.54036497150142,178.72004013012912,PIA
22,274.89285628673366,280.32796257168366,PIA
23,308.5692319652878,313.14730116860017,PIA
24,320.9127739984883,318.5851944182708,PER
25,319.0,,PER
