Minisector,RUS,STR,Fastest
0,294.298249984,315.5572717488212,STR
1,207.09914936565656,203.1123252225834,RUS
2,141.9098323661516,138.2492422548382,RUS
3,217.10415584415585,213.58059368123995,RUS
4,161.0786422002782,156.34500313048574,RUS
5,184.78537374337662,179.14286433641024,RUS
6,253.6007837171227,250.85224899963833,RUS
7,277.1544668908151,277.4753784491775,STR
8,282.9093694335097,284.0744114967273,STR
9,267.3787831675186,255.1477408724205,RUS
10,253.99993571676492,242.57828240205365,RUS
11,245.7747892278697,234.39061506650205,RUS
12,208.877175787961,198.4294277185185,RUS
13,134.00586306009583,128.3567467296123,RUS
14,144.63403515670302,134.63673462603174,RUS
15,177.55694822162965,171.8624690549155,RUS
16,250.54436870927103,256.06273709326223,STR
17,231.6338289719662,227.6341352138913,RUS
18,112.53959254925012,112.10336240635817,RUS
19,203.344598043366,197.07352845765482,RUS
20,198.61701201586027,195.5481950314413,RUS
21,234.38888234240363,231.8096243960494,RUS
22,263.43168232903827,269.19089336461155,STR
23,279.96933152999287,293.5792205415758,STR
24,289.5482239494431,311.0448863709091,STR
