Minisector,SAI,PIA,Fastest
0,261.37451138380953,259.80806613946874,SAI
1,129.66547436952382,131.812065285739,PIA
2,201.02155925360282,200.65713781604276,SAI
3,246.7809012084601,245.96894031238094,SAI
4,263.005676009324,257.36745944533334,SAI
5,171.36343628527786,174.3272576474638,PIA
6,140.62696653515528,143.67923420139684,PIA
7,185.6462397896911,179.73808370952355,SAI
8,97.42695931120731,98.1401041744993,PIA
9,70.79251059228467,69.10176122454367,SAI
10,92.53170846423744,90.04506628360295,SAI
11,178.90762789674307,172.9940294675664,SAI
12,244.31065276833343,244.50794468491227,PIA
13,270.04429322911756,269.0650116114286,SAI
14,279.1797123072774,275.9500309251282,SAI
15,104.44062686737415,112.40894072553749,PIA
16,147.5588354405453,138.69099837254603,SAI
17,191.04255759788663,179.47290679880754,SAI
18,189.10153616842103,189.91526575961518,PIA
19,208.77315305619675,210.83866365818182,PIA
20,133.44981389943217,133.0033632471452,SAI
21,111.55520822096952,116.9960538471573,PIA
22,94.82535729752001,86.99637653296018,SAI
23,197.90754399736167,184.99714960065262,SAI
24,253.3764898394558,248.83109350666666,SAI
25,,263.35999744000003,PIA
